file,start_datetime,stop_datetime,region_id,genotype,replicate
Long_2_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,19,Long_2,1
Long_2_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,20,Long_2,1
Long_2_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,21,Long_2,1
Long_2_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,22,Long_2,1
Long_2_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,23,Long_2,1
Long_2_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,24,Long_2,1
Long_2_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,25,Long_2,1
Long_2_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,26,Long_2,1
Long_2_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,27,Long_2,1
Long_2_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,28,Long_2,1
Long_2_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,29,Long_2,1
Long_2_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,30,Long_2,1
Long_2_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,31,Long_2,1
Long_2_DD.txt,2017-02-18 10:00:00,2017-02-26 09:59:00,32,Long_2,1
