file,start_datetime,stop_datetime,region_id,genotype,replicate
Monitor1.txt,2020-07-26 10:00:00,2020-08-02 10:00:00,1,Early,1
Monitor1.txt,2020-07-26 10:00:00,2020-08-02 10:00:00,2,Early,1
Monitor1.txt,2020-07-26 10:00:00,2020-08-02 10:00:00,3,Early,1
Monitor1.txt,2020-07-26 10:00:00,2020-08-02 10:00:00,4,Early,1
Monitor1.txt,2020-07-26 10:00:00,2020-08-02 10:00:00,5,Early,1
Monitor1.txt,2020-07-26 10:00:00,2020-08-02 10:00:00,6,Early,1
Monitor1.txt,2020-07-26 10:00:00,2020-08-02 10:00:00,7,Early,1
Monitor1.txt,2020-07-26 10:00:00,2020-08-02 10:00:00,8,Early,1
Monitor1.txt,2020-07-26 10:00:00,2020-08-02 10:00:00,9,Early,1
Monitor1.txt,2020-07-26 10:00:00,2020-08-02 10:00:00,10,Early,1
Monitor1.txt,2020-07-26 10:00:00,2020-08-02 10:00:00,11,Early,1
Monitor1.txt,2020-07-26 10:00:00,2020-08-02 10:00:00,12,Early,1
